OPERATING AGREEMENT	ОПЕРАЦИОННОЕ СОГЛАШЕНИЕ
(5) Place of Arbitration.	(5) Место проведения арбитража.
Unless otherwise agreed by all parties to the Dispute, the place of arbitration shall be	Если все стороны по Спору не договорятся об ином, арбитраж будет проводиться в
(6) Language.	(6) Язык.
The arbitration proceedings shall be conducted in the [English] language and the arbitrator(s) shall be fluent in the [English] language.	Арбитражное разбирательство проводится на [английском] языке, при этом арбитр (арбитры) должен(ы) свободно владеть [английским] языком.
(7) Entry of Judgment.	(7) Вынесение постановления.
The award of the arbitral tribunal shall be final and binding.	Решение арбитража является окончательным и обязательным.
Judgment on the award of the arbitral tribunal may be entered and enforced by any court of competent jurisdiction.	Постановление в отношении решения арбитража может быть вынесено и принудительно исполнено любым судом компетентной юрисдикции.
(8) Notice.	(8) Уведомление.
All notices required for any arbitration proceeding shall be deemed properly given if sent in accordance with Article 17.	Все уведомления, требуемые для какого-либо арбитражного разбирательства, считаются надлежащим образом направленными, если они направлены в соответствии со статьей 17.
(9) Qualifications and Conduct of the Arbitrators.	(9) Профессионализм и поведение арбитров.
All arbitrators shall be and remain at all times wholly impartial, and, once appointed, no arbitrator shall have any ex parte communications with any of the parties to the Dispute concerning the arbitration or the underlying Dispute other than communications directly concerning the selection of the presiding arbitrator, where applicable.	Все арбитры являются и при любых обстоятельствах должны оставаться полностью беспристрастными, при этом после своего назначения ни один арбитр не может допускать приватного общения с любой из сторон по Спору в отношении арбитражного разбирательства или соответствующего Спора, кроме общения по поводу назначения председательствующего арбитра, если это применимо.
Whenever the parties to the Dispute are of more than one nationality, the single arbitrator or the presiding arbitrator (as the case may be) shall not be of the same nationality as any of the parties or their ultimate parent entities, unless the parties to the Dispute otherwise agree.	Если стороны по Спору не договорятся об ином, то в том случае, если стороны по Спору являются представителями разных стран, единственный или председательствующий арбитр (в зависимости от ситуации) не может быть представителем той же страны, что и одна из сторон или ее основная материнская компания.
(10) Interim Measures.	(10) Временные меры.
[Notwithstanding any requirements for alternative dispute resolution procedures as set forth in Articles 18(B) and (C)], [a]ny party to the Dispute may apply to a court for interim measures (i) prior to the constitution of the arbitral tribunal (and thereafter as necessary to enforce the arbitral tribunal's rulings); or (ii) in the absence of the jurisdiction of the arbitral tribunal to rule on interim measures in a given jurisdiction.	[Несмотря на какие-либо требования в отношении альтернативного порядка разрешения споров как указано в статьях 18(B) и (С)], [л]юбая сторона по Спору может обратиться в суд за применением временных мер (i) до сформирования арбитража (и после этого, если это будет необходимо для принудительного исполнения решений арбитража); либо (ii) при отсутствии юрисдикции арбитража вынести постановление о применении временных мер в конкретной юрисдикции.
The Parties agree that seeking and obtaining such interim measures shall not waive the right to arbitration.	Стороны соглашаются, что обращение за такими временными мерами и получение их не является отказом от права на проведение арбитражного разбирательства.
The arbitrators (or in an emergency the presiding arbitrator acting alone in the event one or more of the other arbitrators is unable to be involved in a timely fashion) may grant interim measures including injunctions, attachments and conservation orders in appropriate circumstances, which measures may be immediately enforced by court order.	Арбитры (а, в случае необходимости, председательствующий арбитр, действующий в одиночку, если один или более арбитров не могут вовремя принять участие в разбирательстве) могут вынести решение о применении временных мер, включая меры обеспечения иска, арест или приказ о приостановлении разбирательства при соответствующих обстоятельствах, при том, что такие меры могут быть незамедлительно исполнены в судебном порядке.
Hearings on requests for interim measures may be held in person, by telephone, by video conference or by other means that permit the parties to the Dispute to present evidence and arguments.	Слушание по запросам о применении временных мер может проводиться при личном присутствии, по телефону, посредством видеосвязи или с помощью иных средств, позволяющих сторонам по Спору представить свои доказательства и доводы.
Without limiting the generality of the foregoing, any party to the Dispute may have recourse to and shall be bound by the Pre-arbitral Referee Procedure of the International Chamber of Commerce in accordance with its rules then in effect.	Не ограничивая общий смысл вышеизложенного, любая сторона по Спору может обратиться с просьбой о применении арбитражной досудебной процедуры Международной торговой палаты в соответствии с ее действующим на тот момент регламентом, и должна подчиниться такому регламенту.
(11) Costs and Attorneys' Fees.	(11) Расходы и гонорары юристов.
The arbitral tribunal is authorized to award costs and attorneys' fees and to allocate them between the parties to the Dispute.	Арбитраж уполномочен присуждать расходы и выплату гонораров и распределять их между сторонами по Спору.
The costs of the arbitration proceedings, including attorneys' fees, shall be borne in the manner determined by the arbitral tribunal.	Расходы на арбитражное разбирательство, включая гонорары юристов, должны оплачиваться таким образом, как это будет определено арбитражем.
(12) Interest.	(12) Проценты.
The award shall include interest, as determined by the arbitral award, from the date of any default or other breach of this Agreement until the arbitral award is paid in full.	На присуждаемую решением сумму согласно решению арбитража начисляются проценты, начиная с даты какого-либо нарушения или иного неисполнения настоящего Соглашения, до тех пор, пока присуждаемая решением арбитража сумма не будет полностью выплачена.
Interest shall be awarded at the Agreed Interest Rate.	Проценты начисляются по Согласованной Процентной Ставке.
(13) Currency of Award.	(13) Валюта, в которой выражена присуждаемая сумма.
The arbitral award shall be made and payable in United States dollars, free of any tax or other deduction.	Присуждаемая решением арбитража сумма выражается и выплачивается в долларах США, без каких-либо налоговых или иных вычетов.
(14) Exemplary Damages.	(14) Штрафные убытки.
The Parties waive their rights to claim or recover, and the arbitral tribunal shall not award, any punitive, multiple, or other exemplary damages (whether statutory or common law) except to the extent such damages have been awarded to a third party and are subject to allocation between or among the parties to the Dispute.	Стороны отказываются от своих прав требовать или взыскивать, а арбитраж не присуждает каких-либо штрафных, множественных или иных убытков (предусмотренных законом или общим правом), кроме штрафных убытков, присуждаемых какому-либо третьему лицу и подлежащих распределению между сторонами по Спору.
(15) Waiver of Challenge to Decision or Award.	(15) Отказ от оспаривания решения или постановления.
To the extent permitted by law, any right to appeal or challenge any arbitral decision or award, or to oppose enforcement of any such decision or award before a court or any governmental authority, is hereby waived by the Parties except with respect to the limited grounds for modification or non-enforcement provided by any applicable arbitration statute or treaty.	Насколько это разрешено законом, Стороны настоящим отказываются от любого права на обжалование какого-либо решения арбитража или постановления арбитража, либо на протест против исполнения любого такого решения или постановления, заявляемый в суде или каком-либо государственном органе, за исключением обжалований и протестов для изменения или отказа от принудительного исполнения по ограниченным основаниям, предусмотренным любым законом или соглашением об арбитраже.
(E) Confidentiality.	(Е) Конфиденциальность.
All negotiations, mediation, arbitration, and expert determinations relating to a Dispute (including a settlement resulting from negotiation or mediation, an arbitral award, documents exchanged or produced during a mediation or arbitration proceeding, and memorials, briefs or other documents prepared for the arbitration) are confidential and may not be disclosed by the Parties, their employees, officers, directors, counsel, consultants, and expert witnesses, except (in accordance with Article 15.2) to the extent necessary to enforce this Article 18 or any arbitration award, to enforce other rights of a Party, or as required by law; provided, however, that breach of this confidentiality provision shall not void any settlement, expert determination or award.	Все переговоры, третейские или арбитражные разбирательства, а также экспертные заключения, относящиеся к Спору (включая заключение мирового соглашения в ходе переговоров или третейского разбирательства, любое решение арбитража, документы, которыми обмениваются Стороны или которые они представляют для третейского или арбитражного разбирательства, а также меморандумы, краткие обзоры или иные документы, подготовленные для арбитражного разбирательства), являются конфиденциальными и не могут раскрываться Сторонами, их сотрудниками, должностными лицами, директорами, юристами, консультантами и экспертами-свидетелями, кроме случаев (согласно статье 15.2), когда это необходимо для принудительного исполнения данной статьи 18 или какого-либо решения арбитража, либо для принудительного осуществления иных прав какой-либо Стороны, либо в силу закона, при условии, однако, что нарушение данного положения о конфиденциальности не лишает действительности какое-либо мировое соглашение, заключение эксперта или решение арбитража.
Check Article 18.3, if any of Article 8.4 -Alternative No 2, Article 12.2(F) - Alternative No 2, or Article 12.3(C) - Alternative No 2 is selected.	Включите статью 18.3, если будет выбран ВАРИАНТ №2 для статьи 8.4, ВАРИАНТ № 2 для статьи 12.2 (F, либо ВАРИАНТ № 2 для статьи 12.3(C).
Renumber following article if Article 18.3 is not selected.	Измените последующую нумерацию, если статья 18.3 не будет включена.
OPTIONAL PROVISION (Article 18.3)	ФАКУЛЬТАТИВНОЕ ПОЛОЖЕНИЕ (статья 18.3)
18.3 Expert Determination	18.3 Заключение эксперта
For any decision referred to an expert under Articles [8.4, 12.2 or 12.3], the Parties hereby agree that such decision shall be conducted expeditiously by an expert selected unanimously by the parties to the Dispute.	В отношении любого исследования, порученного эксперту согласно статьям [8.4, 12.2 или 12.3], Стороны настоящим соглашаются, что такое исследование должно быть незамедлительно проведено экспертом, выбранным единогласно сторонами по Спору.
The expert is not an arbitrator of the Dispute and shall not be deemed to be acting in an arbitral capacity.	Эксперт не является арбитром, рассматривающим Спор, и не считается действующим в таком качестве.
The Party desiring an expert determination shall give the other parties to the Dispute written notice of the request for such determination.	Сторона, добивающаяся проведения экспертизы, должна письменно уведомить другие стороны по Спору о своем требовании провести такую экспертизу.
If the parties to the Dispute are unable to agree upon an expert within ten (10) Days after receipt of the notice of request for an expert determination, then, upon the request of any of the parties to the Dispute, the International Centre for Expertise of the International Chamber of Commerce (ICC) shall appoint such expert and shall administer such expert determination through the ICC's Rules for Expertise.	Если стороны по Спору не смогут договориться о назначении эксперта в течение 10 (десяти) Дней после получения уведомления о требовании по проведению экспертизы, тогда по запросу любых сторон по Спору Международный центр экспертизы при Международной торговой палате (МТП) должен назначить такого эксперта и курировать эту экспертизу с применением Регламента МТП об экспертизе.
The expert, once appointed, shall have no ex parte communications with any of the parties to the Dispute concerning the expert determination or the underlying Dispute.	После своего назначения эксперт не может допускать приватного общения с любой из сторон по Спору в отношении экспертного заключения или соответствующего Спора.
All Parties agree to cooperate fully in the expeditious conduct of such expert determination and to provide the expert with access to all facilities, books, records, documents, information and personnel necessary to make a fully informed decision in an expeditious manner.	Все Стороны соглашаются полностью сотрудничать с целью незамедлительного проведения такой экспертизы и предоставлять эксперту доступ ко всем промышленным объектам, книгам, записям, документам, информации и персоналу в целях скорейшей подготовки компетентного заключения.
Before issuing his final decision, the expert shall issue a draft report and allow the parties to the Dispute to comment on it.	До принятия окончательного решения эксперт должен представить проект заключения и позволить всем сторонам по Спору прокомментировать его.
The expert shall endeavor to resolve the Dispute within thirty (30) Days (but no later than sixty (60) Days) after his appointment, taking into account the circumstances requiring an expeditious resolution of the matter in dispute.	Эксперт должен стремиться разрешить Спор в течение 30 (тридцати) Дней (но не позднее чем в течение 60 (шестидесяти) Дней) после своего назначения, с учетом обстоятельств, требующих незамедлительного разрешения предмета спора.
The expert's decision shall be final and binding on the parties to the Dispute unless challenged in an arbitration pursuant to Article 18.2(D) within sixty (60) Days of the date the expert's final decision is received by the parties to the Dispute and until replaced by such subsequent arbitral award.	Заключение эксперта является окончательным и обязательным для сторон по Спору, если оно не будет оспорено в рамках арбитражного разбирательства согласно статье 18.2(D) в течение 60 (шестидесяти) Дней с даты получения сторонами по Спору окончательного заключения эксперта, и является таковым до тех пор, пока оно не будет заменено последующим решением арбитража.
In such arbitration (i) the expert determination on the specific matter under Articles [8.4, 12.2 or 12.3] shall be entitled to a rebuttable presumption of correctness; and (ii) the expert shall not (without the written consent of the parties to the Dispute) be appointed to act as an arbitrator or as adviser to the parties to the Dispute.	В ходе такого арбитражного разбирательства (i) заключение эксперта по конкретному вопросу согласно статьям [8.4, 12.2 или 12.3] имеет право на опровержимую презумпцию правильности; и (ii) эксперт не должен (без письменного согласия сторон по Спору) назначаться в качестве арбитра или консультанта сторон по Спору.
18.4 Waiver of Sovereign Immunity	18.4 Отказ от суверенного иммунитета
[NOTE: Confirm the authority of each Party to waive its sovereign immunity under applicable local laws.]	[ПРИМЕЧАНИЕ: Подтвердите полномочия каждой из Сторон но отказу от ее суверенного иммунитета согласно действующим в ее юрисдикции законам.]
Any Party that now or hereafter has a right to claim sovereign immunity for itself or any of its assets hereby waives any such immunity to the fullest extent permitted by the laws of any applicable jurisdiction.	Любая из Сторон, обладающая в настоящее время или в будущем правом утверждать о суверенном иммунитете для себя или каких- либо своих активов, настоящим отказывается от любого такого иммунитета в максимальной степени, разрешенной законами какой-либо применимой юрисдикции.
This waiver includes immunity from (i) any expert determination, mediation, or arbitration proceeding commenced pursuant to this Agreement; (ii) any judicial, administrative or other proceedings to aid the expert determination, mediation, or arbitration commenced pursuant to this Agreement; and (iii) any effort to confirm, enforce, or execute any decision, settlement, award, judgment, service of process, execution order or attachment (including pre-judgment attachment) that results from an expert determination, mediation, arbitration or any judicial or administrative proceedings commenced pursuant to this Agreement.	Такой отказ касается иммунитета от (i) любого экспертного заключения, третейского или арбитражного разбирательства, начатого согласно настоящему Соглашению; (ii) любого судебного, административного или иного процесса в помощь экспертизе, третейскому или арбитражному разбирательству, начатому согласно настоящему Соглашению; и (iii) любой попытки подтвердить, принудительно исполнить или реализовать любое решение, мировое соглашение, судебное постановление или решение, вручение повестки, приказ о приведении в исполнение или наложении ареста (включая арест до вынесения решения) в связи с экспертным заключением, третейским, арбитражным или каким-либо судебным или административным разбирательством, начатым согласно настоящему Соглашению.
Each Party acknowledges that its rights and obligations hereunder are of a commercial and not a governmental nature.	Каждая из Сторон признает, что ее права и обязанности по настоящему Соглашению носят коммерческий, а не государственный характер.
ARTICLE 19 ALLOCATION OF COST & PROFIT HYDROCARBONS	СТАТЬЯ 19 РАСПРЕДЕЛЕНИЕ КОМПЕНСАЦИОННЫХ И ПРИБЫЛЬНЫХ УГЛЕВОДОРОДОВ
[NOTE: Article 19 must be analyzed taking into consideration the Contract and Laws / Regulations.]	[ПРИМЕЧАНИЕ: статью 19 необходимо проанализировать с учетом Контракта и Законов/Постановлений.]
Check one Alternative for Articles 19.1 and 19.2.	Выберите один вариант для статей 19.1 и 19.2
ALTERNATIVE NO 1 (Article 19.1 and Article 19.2) - Allocation by Exploitation Area	ВАРИАНТ №1 (статья 19.1 и 19.2) -Распределение по Зонам Эксплуатации
(B) Operator shall develop and the Operating Committee shall approve procedures for allocating such Cost Hydrocarbons and Profit Hydrocarbons during each Calendar Quarter among the individual Exploitation Areas based upon the following principles.	(B) Оператор должен разработать, а Руководящий Комитет должен утвердить порядок распределения таких Компенсационных Углеводородов и Прибыльных Углеводородов в течение каждого Календарного Квартала по отдельным Зонам Эксплуатации, исходя из следующих принципов:
(1) Cost Hydrocarbons and Profit Hydrocarbons shall first be allocated to Exploitation Areas based on the principle that an earlier established operation shall not be enhanced or impaired in any way through the subsequent establishment of any Exploitation Area, whether the subsequently established Exploitation Areas are Exclusive Operations or Joint Operations.	(1) Компенсационные Углеводороды и Прибыльные Углеводороды должны прежде всего распределяться по Зонам Эксплуатации, исходя из того принципа, что ранее начатая эксплуатация никоим образом не выигрывает и не проигрывает вследствие последующего создания какой-либо Зоны Эксплуатации, независимо от того, представляют ли собой последующие Зоны Эксплуатации Эксклюзивные Операции или Совместные Операции.
(A) Cost Hydrocarbons and Profit Hydrocarbons allocated to Exploitation Areas pursuant to Article 19.1 shall be allocated to the Parties in proportion to their Participating Interests in each such Exploitation Area.	(A) Компенсационные Углеводороды и Прибыльные Углеводороды, распределяемые по Зонам Эксплуатации согласно статье 19.1, распределяются между Сторонами пропорционально их Долям Участия в каждой Зоне Эксплуатации.
(B) Notwithstanding anything to the contrary contained in this Article 19, and to the extent allowed under the Contract, Cost Hydrocarbons which are not specifically attributable to an Exploitation Area, if any, shall be allocated to the Parties in proportion to their respective participation in the operations which underlie any such Cost Hydrocarbons, provided, however, that the rights of a Party to Cost Hydrocarbons or Profit Hydrocarbons from an Exploitation Area to which it is a participant shall not be impaired by the rights of any other Party to recover Cost Hydrocarbons which are not specifically attributable to such Exploitation Area.	(B) Несмотря на что-либо из содержащегося в настоящей статье 19 и предусматривающее обратное, и насколько это разрешено Контрактом, Компенсационные Углеводороды, не относящиеся к какой-либо конкретной Зоне Эксплуатации, при наличии таковых, распределяются между Сторонами пропорционально их соответствующему участию в операциях, в ходе которых были добыты такие Компенсационные Углеводороды, при условии, однако, что права какой- либо Стороны на Компенсационные Углеводороды или Прибыльные Углеводороды от какой-либо Зоны Эксплуатации, в которой она участвует, не умаляются правами какой-либо иной Стороны на получение Компенсационных Углеводородов, не относящихся к такой конкретной Зоне Эксплуатации.
ALTERNATIVE NO 2	ВАРИАНТ № 2
Allocation by Type of Operation	Распределение по видам операций
19.1 Allocation of Total Production	19.1 Распределение всего объема добычи
(A) The total quantity of Hydrocarbons produced and measured at the delivery point (as determined in accordance with Article 9) from each Exploitation Area and to which the Parties are collectively entitled under the Contract shall be composed of Cost Hydrocarbons and Profit Hydrocarbons in accordance with the provisions of the Contract.	(A) Общее количество Углеводородов, добытых в каждой Зоне Эксплуатации и измеренных в пункте поставки (согласно статье 9), на которое Стороны имеют совместное право по Контракту, складывается, согласно Контракту, из Компенсационных Углеводородов и Прибыльных Углеводородов.
(B) Operator shall develop and the Operating Committee shall approve procedures for allocating such Cost Hydrocarbons and Profit Hydrocarbons during each Calendar Quarter among the individual operations based upon the following principles.	(B) Оператор должен разработать, а Руководящий Комитет должен утвердить порядок распределения таких Компенсационных Углеводородов и Прибыльных Углеводородов в течение каждого Календарного Квартала по отдельным операциям, исходя из следующих принципов:
(1) Cost Hydrocarbons and Profit Hydrocarbons shall first be allocated to Joint Operations based on the principle that Joint Operations shall not be enhanced or impaired in any way by the execution of any Exclusive Operations.	(1) Компенсационные Углеводороды и Прибыльные Углеводороды должны ; прежде всего распределяться по Совместным Операциям, исходя из того принципа, что Совместные Операции ; никоим образом не выигрывают и не проигрывают вследствие осуществления каких-либо Эксклюзивных Операций.
Any remaining Cost Hydrocarbons and Profit Hydrocarbons shall be allocated to Exclusive Operations based on the principle that an earlier executed Exclusive Operation shall not be enhanced or impaired in any way by the subsequent execution of another Exclusive Operation.	Любые оставшиеся Компенсационные Углеводороды и Прибыльные Углеводороды распределяются по Эксклюзивным Операциям исходя из того принципа, что любая ранее осуществленная Эксклюзивная Операция никоим образом не выигрывает и не проигрывает от последующего осуществления другой Эксклюзивной Операции.
(2) All allocations made pursuant to this Article 19 shall incorporate adjustments to reflect differences in value if different qualities of Hydrocarbons are produced.	(2) Все распределения, осуществляемые согласно данной статье 19, включают корректировки для отражения разницы в стоимости, если добываемые Углеводороды имеют различное качество.
19.2 Allocation of Hydrocarbons to Parties	19.2 Распределение Углеводородов между Сторонами
(A) Cost Hydrocarbons and Profit Hydrocarbons allocated to Joint Operations or Exclusive Operations pursuant to Article 19.1 shall be allocated to the Parties in proportion to their respective Participating Interests in such operations.	(A) Компенсационные Углеводороды и Прибыльные Углеводороды, распределяемые по Совместным Операциям или Эксклюзивным Операциям согласно статье 19.1, распределяются между Сторонами пропорционально их Долям Участия в таких операциях.
(B) Notwithstanding anything to the contrary contained in this Article 19, and to the extent allowed under the Contract, Cost Hydrocarbons which are not specifically attributable to an operation, if any, shall be allocated to the Parties in proportion to their respective participation in the operations which underlie any such Cost Hydrocarbons, provided, however, that the rights of a Party to Cost Hydrocarbons or Profit Hydrocarbons from an operation to which it is a participant shall not be impaired by the rights of any other Party to recover Cost Hydrocarbons which are not specifically attributable to an operation.	(B) Несмотря на что-либо из содержащегося в настоящей статье 19 и предусматривающее обратное, и насколько это разрешено Контрактом, Компенсационные Углеводороды, не относящиеся к какой-либо конкретной операции, при наличии таковых, распределяются между Сторонами пропорционально их соответствующему участию в операциях, в ходе которых были добыты такие Компенсационные Углеводороды, при условии, однако, что права какой-либо Стороны на Компенсационные Углеводороды или Прибыльные Углеводороды от какой- либо операции, в которой она участвует, не умаляются правами какой-либо иной Стороны на получение Компенсационных Углеводородов, не относящихся к такой конкретной операции.
19.3 Use of Estimates	19.3 Использование предварительной оценки
Initial distribution of Hydrocarbons pursuant to this Article 19 shall be based upon estimates furnished by Operator pursuant to Article 9, with adjustments for actual figures to be made in kind within forty-five (45) Days after the end of the Calendar Quarter and at any later date when adjustments must be made with the Government under the Contract.	Первоначальное распределение Углеводородов согласно данной статье 19 основывается на данных предварительной оценки, предоставленных Оператором согласно статье 9, с корректировкой на фактические цифры, определяемые в натуре в течение 45 (сорока пяти) Дней после окончания Календарного Квартала и в любую более позднюю дату, в которую по Контракту должна быть произведена корректировка с участием Государства.
19.4 Principles	19.4 Принципы
If no allocation procedure is approved by the Operating Committee in accordance with Article 19.1, the Parties shall nonetheless be bound by the principles set forth in this Article 19 with regard to the allocation of Cost Hydrocarbons and Profit Hydrocarbons.	Если ни один порядок распределения не будет утвержден Руководящим Комитетом в соответствии со статьей 19.1, Стороны, тем не менее, будут обязаны придерживаться принципов, указанных в данной статье 19 в отношении распределения Компенсационных Углеводородов и Прибыльных Углеводородов.
ARTICLE 20 GENERAL PROVISIONS	СТАТЬЯ 20 ОБЩИЕ ПОЛОЖЕНИЯ
20.7 Conduct of the Parties	20.7 Стандарты поведения Сторон
(A) Each Party warrants that it and its Affiliates have not made, offered, or authorized and will not make, offer, or authorize with respect to the matters which are the subject of this Agreement, any payment, gift, promise or other advantage, whether directly or through any other person or entity, to or for the use or benefit of any public official (i.e., any person holding a legislative, administrative or judicial office, including any person employed by or acting on behalf of a public agency, a public enterprise or a public international organization) or any political party or political party official or candidate for office, where such payment, gift, promise or advantage would violate	(А) Каждая из Сторон гарантирует, что ни она, ни ее Аффилированные Лица не производили, не предлагали и не санкционировали, и не будут производить, предлагать или санкционировать применительно к делам, являющимся предметом настоящего Соглашения, какой-либо платеж, подарок, обещание или иное преимущество, как напрямую так и через какое-либо иное физическое или юридическое лицо, в пользу, для выгоды или в адрес какого-либо официального должностного лица (то есть, любого лица, занимающего какую-либо должность в органах законодательной, административной или судебной власти, включая любое лицо, занятое или действующее от имени какого-либо государственного органа, государственного предприятия или общественной международной организации), или в адрес какой-либо политической партии или официального должностного лица такой партии или кандидата на пост в какой-либо такой партии, если такой платеж, подарок, обещание или преимущество могут нарушить
(i) the applicable laws of [(host country)];	(i) действующие законы [(страны осуществления операций)];
(ii) the laws of the country of incorporation of such Party or such Party's ultimate parent company and of the principal place of business of such ultimate parent company; or (iii) the principles described in the Convention on Combating Bribery of Foreign Public Officials in International Business Transactions, signed in Paris on December 17, 1997, which entered into force on February 15, 1999, and the Convention's Commentaries.	(ii) законы страны учреждения такой Стороны или основной материнской компании такой Стороны и основного места ведения бизнеса такой основной материнской компании; либо (iii) принципы, описанные в Конвенции по борьбе с подкупом должностных лиц иностранных государств при проведении международных деловых операций, подписанной в Париже 17 декабря 1997 г. и вступившей в силу 15 февраля 1999 г., а также в Комментариях к Конвенции.
Each Party shall defend, indemnify and hold the other Parties harmless from and against any and all claims, damages, losses, penalties, costs and expenses arising from or related to, any breach by such first Party of such warranty.	Каждая из Сторон должна защищать, возмещать ущерб и освобождать от ответственности все прочие Стороны от всех и всяческих исков, ущерба, убытков, штрафов, затрат и расходов, возникающих из или относящихся к какому-либо нарушению такой первой Стороной такой гарантии.
Such indemnity obligation shall survive termination or expiration of this Agreement.	Такое обязательство о возмещении ущерба продолжает действовать после прекращения или истечения срока действия настоящего Соглашения.
[Each Party shall in good time (i) respond in reasonable detail to any notice from any other Party reasonably connected with the above-stated warranty; and (ii) furnish applicable documentary support for such response upon request from such other Party.]	[Каждая из Сторон должна своевременно (i) отвечать (с обоснованными подробностями) на любое уведомление какой-либо Стороны, обоснованно связанное с вышеуказанной гарантией; и (ii) предоставлять применимое документальное подтверждение такого ответа по требованию такой другой Стороны.]
